w,coin,nL,nS,medL,medS,perday
0x6f46c54d556fc8e040ac9226196605eebdf334a1,BTC,79,86,3.0,4.0,0.9
0x70a8cb7bd9fde484ace104b7d949b916c7480247,BTC,61,104,1.0,7.0,0.9
0x670fec8aacee3ef00a011a6d5bcac342936686fa,ETH,53,112,4.0,28.0,0.9
0x7109d35fa3063b50d4d8f4e87f3868b54d1b5839,SOL,98,71,29.0,19.0,0.9
0x9fa1726e7e0f126246b472c09751f70026beffa8,BTC,130,50,3.0,10.0,0.9
0x06574d6b46cb268ee2238894c6d87e95a9317005,ETH,85,89,2.0,11.0,0.9
0x7f1b4072c17655366c9ceed2eddb30e2cc29a436,BTC,100,69,2.0,9.0,0.9
0x02443d1fcb2a76c99bf9bdf89de7f048d26eadba,SOL,95,72,1.0,12.0,0.9
0x8978c4cdeb21091d189acf4e632526cd703ed7d9,BTC,111,37,4.0,2.0,0.8
0x7b27b0a145718b9b9aea0fd83a6f6fe41b0eb0fd,BTC,93,56,3.0,17.0,0.8
0x879f7106a8ad1c8cde308f44c097f172718800aa,BTC,72,78,0.0,2.0,0.8
0x0026d9831ddae1f0b654bbece4b194d5fbe77530,BTC,49,98,5.0,2.0,0.8
0x61bec5cc92e427e32e1b1c3124077b5a7a1b1843,BTC,58,86,10.0,1.0,0.8
0xc58ea719c39a2a7f449255a21901bf1270eb8e0b,ETH,91,66,11.0,15.0,0.8
0xfa63260309f4521af1d82316dae1ff5c9b5e9326,HYPE,92,52,4.0,15.0,0.8
0x0c33a2fdebca39a7359541a4e36e8f7bea89446b,BTC,99,55,18.0,16.0,0.8
0x0c7c327b36f2d1cc1734fc8981b78f2bc9ed9f07,BTC,89,56,9.0,5.0,0.8
0xe16b2469f67ab6ebde9dd5d618c38e965bcd8980,HYPE,79,82,2.0,5.0,0.8
0x21e05bf343cf994c1af2713836d8c5d159162194,FARTCOIN,101,50,30.0,22.0,0.8
0x5bb58a576733d839f954d2f3da15a90abd44e1c0,BTC,55,94,6.0,5.0,0.8
0xcb9b3e5ebed22021cf4ff70c27fee6e3d4113334,BTC,57,99,11.0,6.0,0.8
0x301c4dd57afd71d6ad1eb13f743982589c164daf,BTC,51,100,4.0,12.0,0.8
0x2689ee9c62e838955110191b672059c700a412dc,ZEC,121,33,20.0,34.0,0.8
0x3879bc7564e762c730111a41180b4273f3473ab7,hyna:SOL,33,123,114.0,8.0,0.8
0x4f93fead39b70a1824f981a54d4e55b278e9f760,BTC,107,54,5.0,24.0,0.8
0x53aa125da24cfc3f7a776f0d02f8ff681a8f6f2a,BTC,89,68,7.0,3.0,0.8
0x58a8e77644fac1fbfcc2324485bb123cf3b15540,BTC,74,70,7.0,3.0,0.8
0x9960fda17fb04fa3b9531cc608565a23882ab121,SOL,80,65,14.0,4.0,0.8
0xe9ebad05dbd2457ffc4e2a7402e155aa4839ef54,ETH,67,76,4.0,14.0,0.7
0xff24cab3850f139382d66cbad2b52b96ae72ea65,BTC,88,47,2.0,11.0,0.7
0x92b8cc856784c22c2b5292e06b902464948170fb,BTC,61,65,6.0,15.0,0.7
0xf7d2d0d99263eb48f1eb7e7fcadb915a7948cd04,SOL,44,97,3.0,15.0,0.7
0x965725d126ae16ebfbc05a574ad031eea85490e2,BTC,55,71,6.0,12.0,0.7
0x8190ff234a578aba075fbb6bbc3b8a77f42b44fe,BTC,53,89,5.0,10.0,0.7
0xe70978fac6af9bae4af4e291999346aae7ba0c75,FARTCOIN,50,81,35.0,2.0,0.7
0xe8d62dee926c89cf6df02cad883b67b8446ed9b2,BTC,94,49,21.0,14.0,0.7
0xba9eb17605af26003677fb22b2278ac0b7e17424,BTC,76,59,1.0,3.0,0.7
0xe3c9e07db2f668369d845c97544ef964d6af906c,BTC,50,92,19.0,25.0,0.7
0xdd9bd5ce8dc102f8ff107fd7e2e3b046282c5ba2,BTC,48,85,7.0,7.0,0.7
0xb72bb3f7b02fa2cf76d0ae4c52eba6b4cf9deeab,BTC,84,58,9.0,2.0,0.7
0xc6bef031affaac388b3dfd55b4dfd684d6a00f06,HYPE,81,61,6.0,1.0,0.7
0xb57b432e924c88f08513d9367a1e4ce686e6a39d,BTC,78,63,12.0,3.0,0.7
0xfffb9c710325775ae0614f123ede90eed43261a4,xyz:CL,98,36,9.0,31.0,0.7
0x7bce01c94e4407569358bfbd64a2acb21912849d,SOL,62,66,3.0,9.0,0.7
0x5989babb0b91393f4ec49d66b9f5e07ae82db6f1,BTC,33,97,0.0,20.0,0.7
0x0213d7597a2fe93271ef036e7f731032029974e7,SOL,36,93,7.0,6.0,0.7
0x06fcc3789e9e23c876d14974cd85026f4da2dcc5,BTC,99,38,20.0,26.0,0.7
0x14fb0231a04bbbc773bb7e886d5d1e0677a022ec,BTC,93,36,6.0,1.0,0.7
0x2004db3498a563ebb832cc4b66f854df1fd0424d,BTC,78,59,4.0,3.0,0.7
0x2ccb0d0e5747720423c1112ce79268e9a9540257,BTC,78,58,5.0,18.0,0.7
0x317a911acf2228ad2200347c605acee4268b15f4,BTC,62,63,7.0,3.0,0.7
0x3e4f23e354ceaba77fa2026047e157e4851cc15c,BTC,95,45,16.0,11.0,0.7
0x3eeac11009af5667b8e803413668e18402ba8cba,BTC,69,57,2.0,10.0,0.7
0x7b3124becc647c9044598696f0a275445fe32350,BTC,62,71,11.0,8.0,0.7
0x44b8461f03204cbab6e2a15e4af4fadb924530a9,BTC,61,65,22.0,29.0,0.7
