signal,horizon,n,mean_ret_bps,t_stat,p_value,sharpe,base
S1_TradeImbalanceFade_SOL,5min,302,-2.055,-4.473,0.0,-83.454,S1_TradeImbalanceFade_SOL
S6_AggressiveFlow_ETH,1h,2703,-3.127,-4.672,0.0,-8.41,S6_AggressiveFlow_ETH
S7_VolumeBurst_ETH,15min,616,-3.792,-4.731,0.0,-35.684,S7_VolumeBurst_ETH
S1_TradeImbalanceFade_ETH,5min,408,-2.448,-4.75,0.0,-76.245,S1_TradeImbalanceFade_ETH
S3_ArrivalRateFade_SOL,5min,463,-3.111,-4.824,0.0,-72.688,S3_ArrivalRateFade_SOL
S11_L2Absorption_SOL,15min,482,-4.348,-4.949,0.0,-42.196,S11_L
S7_VolumeBurst_BTC,5min,472,-2.554,-5.191,0.0,-77.467,S7_VolumeBurst_BTC
S7_VolumeBurst_SOL,5min,583,-2.775,-5.334,0.0,-71.627,S7_VolumeBurst_SOL
S7_VolumeBurst_ETH,5min,616,-3.057,-5.922,0.0,-77.361,S7_VolumeBurst_ETH
S6_AggressiveFlow_HYPE,5min,1263,-2.853,-6.067,0.0,-55.351,S6_AggressiveFlow_HYPE
S1_TradeImbalanceFade_BTC,5min,284,-2.887,-6.081,0.0,-116.993,S1_TradeImbalanceFade_BTC
S11_L2Absorption_HYPE,5min,830,-3.512,-6.278,0.0,-70.648,S11_L
S10_L2DepthImbalance_HYPE,5min,1565,-2.64,-6.375,0.0,-52.251,S10_L
S10_L2DepthImbalance_SOL,5min,1528,-1.97,-6.59,0.0,-54.663,S10_L
S6_AggressiveFlow_HYPE,15min,1262,-5.162,-6.706,0.0,-35.338,S6_AggressiveFlow_HYPE
S2_LargeTradeContinuation_HYPE,5min,1537,-2.939,-7.118,0.0,-58.863,S2_LargeTradeContinuation_HYPE
S11_L2Absorption_BTC,15min,514,-5.152,-7.267,0.0,-60.003,S11_L
S6_AggressiveFlow_SOL,1h,2102,-5.839,-7.831,0.0,-15.987,S6_AggressiveFlow_SOL
S11_L2Absorption_ETH,5min,681,-4.219,-8.119,0.0,-100.872,S11_L
S9_SpreadWidenFade_HYPE,5min,1258,-3.872,-8.222,0.0,-75.16,S9_SpreadWidenFade_HYPE
S2_LargeTradeContinuation_ETH,5min,1478,-2.572,-8.517,0.0,-71.828,S2_LargeTradeContinuation_ETH
